id,program,interests,Country,City,residence,applied_at
852367,Psychology,"Understanding human behavior fascinates me. I enjoy studying the complexities of the mind and how it influences our actions. In my spare time, I volunteer at mental health organizations and participate in research studies.",United Kingdom,London,True,2023-05-10 14:20:30
435789,Engineering,"I have a strong interest in AI and robotics, focusing on creating innovative solutions. In my free time, I experiment with new technologies and improve my coding skills.",United States,San Francisco,False,2023-05-09 13:35:45
413923,Computer Science,"As a computer science enthusiast, I love exploring the latest technological advancements. I enjoy coding and developing software that can make a difference.",Canada,Edmonton,True,2023-05-11 10:45:12
219837,Engineering,My passion lies in robotics and AI. I enjoy building projects that solve real-world issues and spend my leisure time exploring new technological trends.,United States,San Francisco,False,2023-05-12 11:25:48
573923,Chemistry,"I am dedicated to physical fitness and regularly hit the gym. I find joy in various sports activities, from basketball to swimming, and value the discipline they instill.",Canada,Edmonton,True,2023-05-08 12:00:01
789234,Computer Science,I enjoy coding and building software applications. I like to stay updated with the latest technology trends and experiment with new programming languages.,United States,San Francisco,False,2023-05-07 16:14:23
189554,English,"Fitness is my passion. I engage in weightlifting, running, and team sports, constantly pushing my limits and enjoying the endorphin rush.",Canada,Edmonton,True,2023-05-06 09:38:17
837678,Computer Science,"I have a passion for programming and enjoy working on challenging coding projects. In my free time, I love exploring the latest trends in technology and attending hackathons to enhance my skills.",United States,San Francisco,False,2023-05-05 14:55:38
456239,Biology,"I am fascinated by the diversity of life on Earth and enjoy exploring different ecosystems. Fieldwork and research are my favorite activities, allowing me to study the natural world up close.",Australia,Sydney,True,2023-05-04 08:22:51
214578,Computer Science,Programming and technology are my primary interests. I enjoy developing new applications and staying updated with the latest tech advancements.,USA,San Francisco,False,2023-05-03 07:45:16
879652,Engineering,I enjoy solving complex engineering problems and designing innovative solutions. I'm always looking for new challenges to test my skills and expand my knowledge.,Australia,Sydney,True,2023-05-02 15:30:49
431300,Biology,"Staying active is essential for me. I balance my academic pursuits with regular workouts, focusing on endurance and strength training.",Canada,Edmonton,True,2023-05-01 16:40:20
555225,Business,"Sports and physical activity are integral parts of my life. I participate in different sports, enjoying both the physical and mental benefits they bring.",Canada,Edmonton,True,2023-05-13 12:25:32
471255,Kinesiology,"I thrive on staying active. Whether it's through gym sessions, running, or team sports, I find fulfillment in maintaining a high level of fitness.",Canada,Edmonton,True,2023-05-14 13:15:44
293135,Business,"Physical activity is my passion. I regularly engage in various sports, enjoying the challenge and the rewards of a disciplined lifestyle.",Canada,Edmonton,True,2023-05-15 10:05:58
436827,Engineering,"I love tinkering with machines and building things from scratch. From robotics to programming, I enjoy the challenge of solving complex problems and creating innovative solutions.",United States,San Francisco,False,2023-05-16 11:11:19
812946,Psychology,"Understanding the human mind fascinates me. I delve into topics like cognitive psychology, neuropsychology, and abnormal psychology to unravel the mysteries of human behavior.",Australia,Sydney,True,2023-05-17 15:05:37
691223,Computer Science,"I am passionate about coding and love exploring new technologies. In my free time, I enjoy working on personal projects and contributing to open-source communities.",United States,San Francisco,False,2023-05-18 08:50:24
772334,Engineering,I have a keen interest in designing and building innovative solutions to real-world problems. I enjoy working on projects that involve sustainable practices and cutting-edge technology.,Australia,Sydney,True,2023-05-19 09:30:55
812121,Art History,I have a passion for art and love exploring different art movements and styles. I enjoy visiting art galleries and museums to expand my knowledge and appreciation of art.,France,Paris,True,2023-05-20 17:20:45
435612,Computer Science,I am passionate about software development and technology. I spend my free time building applications and exploring different programming languages.,USA,San Francisco,False,2023-05-11 11:22:14
789132,Biology,I am passionate about wildlife conservation. I spend my free time volunteering at animal shelters and educating others about the importance of preserving our natural habitats.,Australia,Sydney,True,2023-05-20 16:45:38
944960,English,"I find joy in physical fitness and sports. From the gym to the playing field, I am always seeking new ways to stay active and healthy.",Canada,Edmonton,True,2023-05-21 10:25:17
